code,time_complexity,space_complexity,cyclomatic,readability
"int x = 5; cout << x;","O(1)","O(1)",1,95
"for(int i=0;i<n;i++){cout<<i;}","O(n)","O(1)",2,85
"for(int i=0;i<n;i++){for(int j=0;j<n;j++){cout<<i*j;}}","O(n^2)","O(1)",3,65
"while(n>1){n=n/2;}","O(log n)","O(1)",2,90
"int sum=0; for(int i=0;i<n;i++){sum+=arr[i];}","O(n)","O(1)",2,88
"for(int i=0;i<n;i++){for(int j=0;j<n;j++){a[i][j]=0;}}","O(n^2)","O(1)",3,70
"def binary_search(arr,x): while low<=high: mid=(low+high)//2","O(log n)","O(1)",3,80
"def fact(n): if n==0: return 1 else: return n*fact(n-1)","O(n)","O(n)",3,75
"def fib(n): return fib(n-1)+fib(n-2)","O(2^n)","O(n)",5,40
"for i in range(n): print(i)","O(n)","O(1)",2,92
"for i in range(n): for j in range(i): print(i,j)","O(n^2)","O(1)",3,68
"while i<n: i*=2","O(log n)","O(1)",2,90
"def sum_arr(arr): return sum(arr)","O(n)","O(1)",1,95
"int a[n]; for(int i=0;i<n;i++) a[i]=i;","O(n)","O(n)",2,85
"if(a>b) cout<<a; else cout<<b;","O(1)","O(1)",2,98
"switch(x){case 1:break; case 2:break;}","O(1)","O(1)",3,85
"try{ risky(); } catch(Exception e){ handle(); }","O(1)","O(1)",2,80
"map<int,int> mp; for(int i=0;i<n;i++) mp[i]=i;","O(n log n)","O(n)",3,75
"priority_queue<int> pq; for(int i=0;i<n;i++) pq.push(i);","O(n log n)","O(n)",3,70
"vector<int> v(n); sort(v.begin(),v.end());","O(n log n)","O(1)",2,88
"def merge_sort(arr): split + recursive merge","O(n log n)","O(n)",4,60
"def quick_sort(arr): pivot + recursion","O(n log n)","O(log n)",4,62
"def bubble_sort(arr): nested loops","O(n^2)","O(1)",3,55
"def selection_sort(arr): nested loops","O(n^2)","O(1)",3,58
"def insertion_sort(arr): shifting loop","O(n^2)","O(1)",3,60
"int dp[n+1]; for(int i=0;i<=n;i++) dp[i]=0;","O(n)","O(n)",2,82
"for(int i=0;i<n;i++){if(arr[i]%2==0) count++;}","O(n)","O(1)",3,90
"while(true){ if(x==0) break; }","O(n)","O(1)",3,78
"recursive_tree_traversal(node)","O(n)","O(h)",4,65
"dfs(graph,node)","O(n)","O(n)",4,60
"bfs(graph,start)","O(n)","O(n)",4,62
"triple nested loops","O(n^3)","O(1)",4,45
"def matrix_multiply(a,b): triple loop","O(n^3)","O(n^2)",4,50
"int visited[n]; memset(visited,0,sizeof visited);","O(n)","O(n)",2,85
"lambda x: x*x","O(1)","O(1)",1,98
"list comprehension [x*x for x in arr]","O(n)","O(n)",2,90
"set(arr)","O(n)","O(n)",1,92
"hashmap lookup mp[key]","O(1)","O(1)",1,97
"for i in range(len(arr)): for j in range(len(arr)): if i!=j","O(n^2)","O(1)",4,52
"x = 10; y = 20; z = x + y","O(1)","O(1)",1,100
"if x > 10: print('high') else: print('low')","O(1)","O(1)",2,95
"for item in my_list: process(item)","O(n)","O(1)",2,90
"[item for item in list]","O(n)","O(n)",2,90
"def find_max(arr): m = arr[0]; for x in arr: if x > m: m = x; return m","O(n)","O(1)",3,85
"while x > 0: x = x // 2","O(log n)","O(1)",2,85
"def nested(n): for i in range(n): for j in range(n): print(i,j)","O(n^2)","O(1)",3,60
"def cubic(n): for i in range(n): for j in range(n): for k in range(n): pass","O(n^3)","O(1)",4,40
"items = {i: i*2 for i in range(n)}","O(n)","O(n)",2,85
"matrix = [[0]*n for _ in range(n)]","O(n^2)","O(n^2)",3,70
"def factorial(n): return 1 if n==0 else n * factorial(n-1)","O(n)","O(n)",3,80
"def power(a, b): return a ** b","O(1)","O(1)",1,98
"sorted(arr)","O(n log n)","O(n)",1,90
"arr.sort()","O(n log n)","O(1)",1,90
"for i in range(n): for j in range(n): if i < j: print(i, j)","O(n^2)","O(1)",4,55
"while left < right: mid = (left + right) // 2; if arr[mid] < x: left = mid + 1 else: right = mid","O(log n)","O(1)",3,75
"def linear_search(arr, target): return target in arr","O(n)","O(1)",1,92
"dict_lookup = my_dict.get(key)","O(1)","O(1)",1,98
"s = set(); for x in arr: s.add(x)","O(n)","O(n)",2,88
"collections.Counter(arr)","O(n)","O(n)",1,90
"heapq.heapify(arr)","O(n)","O(1)",1,85
"heapq.heappush(h, item)","O(log n)","O(1)",1,90
"bisect.bisect_left(arr, x)","O(log n)","O(1)",1,90
